,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1180,WW O19 3 #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.11,1.42,1.58,85-87
1259,WW R21 3A #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.53,1.42,1.77,85-87
1483,WW T28 3AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.62,1.42,1.75,85-87
1515,WW T33 4C,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.60,1.42,1.70,85-87
575,NBC /66 YI BRETT #61,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.34,1.43,1.11,"78,79"
733,NBC AII CHRIS  #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.37,1.43,1.61,"78,79"
1500,WW T29 4A+(B)? #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.25,1.43,1.31,85-87
581,NBC 1.2.79 SQ2 MARK# 1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3350,3586,3586,4,4.55,1.43,1.75,"78,79"
1377,WW S29 3III #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.68,1.43,1.75,85-87
1455,WW T25 4BII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.29,1.43,1.51,85-87
1363,WW S27 3BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.57,1.43,1.28,85-87
1487,WW T28 3AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.88,1.43,1.80,85-87
728,NBC 8.2.79 SQ1 REVIL #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,4.47,1.43,1.72,"78,79"
1417,WW T22 3AI #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.58,1.43,1.27,85-87
11,APOLLO 262 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,4.92,1.44,1.94,56-58
509,KPL Flo 3 HF N16-17 C6 (#41),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,875,5,4.12,1.44,1.56,Goldstein et al. forthcoming
566,NBC /66 YI BRETT #53,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.98,1.44,1.35,"78,79"
571,NBC /66 YI BRETT #58,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.34,1.44,1.49,"78,79"
591,NBC 14.11.71 YII EDWARD #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.43,1.44,1.58,"78,79"
654,NBC 30.12.70 CI DESMOND #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.49,1.44,1.44,"78,79"
663,NBC 5.2.79 SQ2 MARY #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.65,1.44,1.70,"78,79"
776,NBC R64/65 EV/13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2500,5,3.82,1.44,1.36,"78,79"
908,NBC R65/66 Y0 BETTY #16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.39,1.44,1.19,"78,79"
919,NBC R65/66 YI BETTY#12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.13,1.44,1.49,"78,79"
958,NBC R66 YI BRETT/BONNIE #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,1930,1859,1859,5,4.34,1.44,1.16,"78,79"
1345,WW S25 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.07,1.44,1.59,85-87
1206,WW O23 4C #9,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.15,1.44,1.53,85-87
1474,WW T27 2B,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,3.09,1.44,1.12,85-87
540,NBC /66 YI BRETT #29,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.18,1.45,1.80,"78,79"
986,NBC XO BETTY #21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.28,1.45,1.79,"78,79"
1262,WW R22 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.57,1.45,1.53,85-87
1324,WW S23 3A #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.45,1.45,1.64,85-87
1338,WW S23 4DI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.91,1.45,1.80,85-87
629,NBC 23.12.70 B-I BOB #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.58,1.45,1.52,"78,79"
762,NBC R 65/66 YI DAN #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.73,1.45,1.61,"78,79"
941,NBC R65/66 YI BETTY#9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.32,1.45,1.26,"78,79"
1053,PYS Layer 3,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,1100,5,4.53,1.45,1.58,"25,80"
1446,WW T24 4CI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.50,1.45,1.37,85-87
605,NBC 19.1.71 CII IONE,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3300,4,3.97,1.46,1.87,"78,79"
658,NBC 40 CEDRIC #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.70,1.46,1.60,"78,79"
1381,WW S29 4A+B #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.53,1.46,1.48,85-87
895,NBC R65/66 CIII CHRIS #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.31,1.46,1.20,"78,79"
989,NBC XO BETTY #24,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.16,1.46,1.55,"78,79"
1240,WW Q21 4D TUFA8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.86,1.46,1.59,85-87
1337,WW S23 4DI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.55,1.46,1.50,85-87
620,NBC 21.12 70 A-1 BETTY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.37,1.47,1.57,"78,79"
662,NBC 5.2.79 SQ2 MARY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.65,1.47,1.34,"78,79"
768,NBC R64/65  30.12.64 E IV/14 #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3500,4,3.56,1.47,1.36,"78,79"
904,NBC R65/66 Y0 BETTY #12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.97,1.47,1.25,"78,79"
1272,WW R22 4B TUFA5 #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.24,1.47,1.91,85-87
1277,WW R23 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.37,1.47,1.92,85-87
1310,WW S22 3A#1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.66,1.47,1.72,85-87
311,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.62,1.47,1,"60,67"
630,NBC 23.12.70 BII MID-BABS,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1200,5,4.12,1.47,1.47,"78,79"
866,NBC R65/66 BI BETTY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.44,1.47,1.40,"78,79"
881,NBC R65/66 BII DAVID #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.80,1.47,1.37,"78,79"
997,NBC XO BETTY #31,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.19,1.47,1.45,"78,79"
1276,WW R23 2B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.44,1.47,1.81,85-87
677,NBC 65/66 BI BABS #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,4.06,1.48,1.46,"78,79"
697,NBC '79 SQ4 UNA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6000,4,3.94,1.48,1.45,"78,79"
1327,WW S23 4AI  #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.67,1.48,1.65,85-87
1507,WW T31 4A+B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,5.39,1.48,1.87,85-87
612,NBC 20.2.79 WERNER SQ6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.68,1.48,1.45,"78,79"
660,NBC 5.2.79 SQ2 MARY #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.82,1.48,1.57,"78,79"
661,NBC 5.2.79 SQ2 MARY #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.67,1.48,1.49,"78,79"
896,NBC R65/66 CIII CHRIS #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.46,1.48,1.55,"78,79"
1469,WW T26 4AII #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.19,1.48,1.69,85-87
1484,WW T28 3AI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.22,1.48,1.38,85-87
750,NBC R 65/66 YI DAN #13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.47,1.49,1.56,"78,79"
1242,WW Q22 3AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.74,1.49,1.38,85-87
1463,WW T26 3AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.11,1.49,1.65,85-87
372,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.46,1.49,1.55,"60,67"
1144,SF751,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,7985,4,5.16,1.49,N/A,40
1244,WW Q22 3AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.36,1.49,1.47,85-87
1376,WW S29 3II #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,3.88,1.49,1.41,85-87
795,NBC R65/66 A0 BETTY #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.24,1.50,1.81,"78,79"
875,NBC R65/66 BII DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.68,1.50,1.60,"78,79"
1305,WW R25 4BII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.59,1.50,1.51,85-87
1360,WW S27 3AIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.41,1.50,1.76,85-87
270,EYMU-05 6 III 1(2) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,5.53,1.50,1.45,75-77
1510,WW T31 4A+B #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.53,1.50,1.27,85-87
606,NBC 19.2.79 VANCE SQ6 #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.53,1.51,1.78,"78,79"
980,NBC XO BETTY #16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.56,1.51,1.47,"78,79"
1035,NBC XO BRETT #19,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.41,1.51,1.39,"78,79"
1183,WW O19 4B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.84,1.51,1.60,85-87
1200,WW O22 4A #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.96,1.51,1.39,85-87
664,NBC 5.2.79 SQ2 MURIEL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4500,4,4.53,1.51,1.23,"78,79"
615,NBC 20.7.65 R65/66 BII BERT #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.54,1.51,1.67,"78,79"
930,NBC R65/66 YI BETTY#22,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.51,1.51,1.15,"78,79"
1014,NBC XO BETTY #47,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.54,1.51,1.17,"78,79"
1041,NBC XO BRETT #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.32,1.51,1.50,"78,79"
1176,WW 4BII #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.34,1.51,1.02,85-87
1281,WW R23 3A #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.42,1.51,1.85,85-87
1293,WW R23 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.52,1.51,1.55,85-87
1356,WW S26 4BI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.56,1.51,1.53,85-87
1038,NBC XO BRETT #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.62,1.52,1.43,"78,79"
1040,NBC XO BRETT #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.53,1.52,1.65,"78,79"
1039,NBC XO BRETT #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.35,1.52,1.85,"78,79"
1408,WW T22 2B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.80,1.52,1.99,85-87
37,"BC R24 LEVEL 30"" - 1WA (1BS LR)",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,4.32,1.52,1.07,"14,59"
299,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.35,1.52,1.17,"60,67"
790,NBC R65/66 24.1.66 BI DAVID #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.91,1.52,1.69,"78,79"
931,NBC R65/66 YI BETTY#23,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.51,1.52,0.99,"78,79"
978,NBC XO BETTY #14,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.46,1.52,1.49,"78,79"
979,NBC XO BETTY #15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.54,1.52,1.55,"78,79"
1021,NBC XO BETTY #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.60,1.52,1.76,"78,79"
1223,WW P22 3 #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.90,1.52,1.99,85-87
452,HwJf2 J9 6 #2,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,4.95,1.53,1.57,72-74
981,NBC XO BETTY #17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.21,1.53,1.52,"78,79"
1221,WW P20 4A #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.71,1.53,2.01,85-87
1471,WW T26 4BI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.27,1.53,1.02,85-87
993,NBC XO BETTY #28,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.20,1.53,1.37,"78,79"
568,NBC /66 YI BRETT #55,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.59,1.53,1.39,"78,79"
786,NBC R65/66 20.1.66 Y0 CEDRIC #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.55,1.53,1.65,"78,79"
882,NBC R65/66 BII DAVID #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.91,1.53,1.48,"78,79"
925,NBC R65/66 YI BETTY#18,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.91,1.53,1.40,"78,79"
1134,SEH09 I13 170,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,32800,2,4.65,1.53,N/A,40
1139,SF231,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,7985,4,4.47,1.53,N/A,40
6,APOLLO 240 A8X^4/+26,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,14870,14870,3,3.94,1.54,1.58,56-58
569,NBC /66 YI BRETT #56,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.60,1.54,0.99,"78,79"
966,NBC RRI DAN #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.66,1.54,1.36,"78,79"
969,NBC RRI DAN #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.56,1.54,1.63,"78,79"
1182,WW O19 4A #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.13,1.54,1.40,85-87
1335,WW S23 4BII #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.37,1.54,1.35,85-87
1365,WW S27 4AI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.59,1.54,1.54,85-87
1375,WW S29 3I #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.04,1.54,1.39,85-87
1264,WW R22 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.16,1.54,1.63,85-87
1351,WW S25 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.29,1.54,1.75,85-87
1401,WW S33 4A+B,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.31,1.54,1.48,85-87
1429,WW T23 4AVI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.02,1.54,1.69,85-87
1461,WW T26 3AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.68,1.54,1.64,85-87
1479,WW T27 4AI #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.58,1.54,1.25,85-87
19,APOLLO 272 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,3.49,1.55,1.51,56-58
190,EYMU-05 5 III 2(2) #10,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,1812,,1812,5,4.94,1.55,1.48,75-77
554,NBC /66 YI BRETT #42,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.87,1.55,1.07,"78,79"
922,NBC R65/66 YI BETTY#15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.93,1.55,1.41,"78,79"
912,NBC R65/66 Y0 BETTY #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.69,1.55,1.48,"78,79"
333,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.18,1.55,1.3,"60,67"
385,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.10,1.55,1.64,"60,67"
408,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.18,1.55,1.77,"60,67"
414,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.39,1.55,1.83,"60,67"
572,NBC /66 YI BRETT #59,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.27,1.55,1.04,"78,79"
1142,SF392,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,15450,3,4.61,1.55,N/A,40
1163,WW 4AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.28,1.55,1.33,85-87
1303,WW R25 3AII (i),Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.55,1.56,1.67,85-87
1390,WW S31 3I,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.03,1.56,1.31,85-87
17,APOLLO 270 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,3.46,1.56,0.93,56-58
467,HxJf1 Tp6 10-20 #3,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1000,5,6.02,1.56,1.68,"33,70,71"
690,NBC 79 HEARTH BELOW VAL SQ6 #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.59,1.56,1.77,"78,79"
859,NBC R65/66 AO CHARLES #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.02,1.56,1.32,"78,79"
1015,NBC XO BETTY #48,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.58,1.56,1.49,"78,79"
1199,WW O22 4A #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,5.30,1.56,1.52,85-87
1280,WW R23 3A #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.37,1.56,1.94,85-87
1322,WW S23 2B,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.97,1.56,1.74,85-87
1367,WW S27 4AI #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.57,1.56,1.54,85-87
1426,WW T23 3B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.48,1.56,1.86,85-87
652,NBC 3.2.79 SQ2 MARY BURIAL #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.47,1.56,1.57,"78,79"
732,NBC AII CHRIS  #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,5.04,1.56,1.96,"78,79"
797,NBC R65/66 A0 BETTY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.27,1.56,1.84,"78,79"
1279,WW R23 2B #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.47,1.56,1.90,85-87
1328,WW S23 4AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.21,1.56,1.56,85-87
1364,WW S27 4AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.61,1.56,1.65,85-87
1387,WW S30 3III,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,3.60,1.56,1.39,85-87
287,EYMU-05 8 III 2(4) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,6.84,1.57,1.90,75-77
555,NBC /66 YI BRETT #43,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.77,1.57,1.51,"78,79"
600,NBC 18.1.71 CII EDWARD #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.65,1.57,1.56,"78,79"
701,NBC '79 SQ5 VAL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.42,1.57,1.89,"78,79"
900,NBC R65/66 CIII CHRIS #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,3.86,1.57,1.17,"78,79"
1439,WW T24 3AII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.63,1.57,1.62,85-87
1441,WW T24 4AIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.84,1.57,1.69,85-87
1268,WW R22 4AIV #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.45,1.57,1.59,85-87
294,Geelbek Pottery,Geelbek Dunes,South Africa,Southern Africa,Published measurements,,,2585,4,3.04,1.57,N/A,66
359,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.28,1.57,1.51,"60,67"
545,NBC /66 YI BRETT #34,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.83,1.57,1.47,"78,79"
1023,NBC XO BETTY #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.46,1.57,1.66,"78,79"
1028,NBC XO BRETT #12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.05,1.57,1.22,"78,79"
1386,WW S30 3I #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.08,1.57,1.41,85-87
258,EYMU-05 5 III 7(11) #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,5.20,1.58,1.73,75-77
976,NBC XO BETTY #12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.58,1.58,1.59,"78,79"
16,APOLLO 269 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,3.81,1.58,1.45,56-58
411,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.88,1.58,1.8,"60,67"
420,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.20,1.58,1.98,"60,67"
