,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
877,NBC R65/66 BII DAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.31,1.66,1.67,"78,79"
952,NBC R65/66 YO BRETT #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.98,1.66,1.56,"78,79"
1010,NBC XO BETTY #43,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.79,1.66,1.42,"78,79"
1179,WW O19 3 #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.97,1.66,1.53,85-87
574,NBC /66 YI BRETT #60,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.19,1.67,1.17,"78,79"
691,NBC '79 SQ 1 VERA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.66,1.67,1.84,"78,79"
775,NBC R64/65 EIV/9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2660,2796,2796,4,4.23,1.67,1.49,"78,79"
926,NBC R65/66 YI BETTY#19,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.72,1.67,1.43,"78,79"
1307,WW S22 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.81,1.67,1.51,85-87
1389,WW S30 4A+B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.02,1.67,1.44,85-87
1456,WW T25 4BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.02,1.67,1.86,85-87
298,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.21,1.67,1.00,"60,67"
302,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.10,1.67,1.61,"60,67"
304,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.85,1.67,1.69,"60,67"
350,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.41,1.67,1.42,"60,67"
455,HxJf1 MAB06 7NE,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1500,5,4.74,1.67,1.49,"33,70,71"
801,NBC R65/66 A0 DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.14,1.67,1.67,"78,79"
642,NBC 23.2.79 SQ8 WOTAN #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.81,1.68,1.42,"78,79"
738,NBC B-I DAVID,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.15,1.68,1.59,"78,79"
649,NBC 28.12.70 CII DEREK,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.71,1.68,1.39,"78,79"
676,NBC 65/66 AO M-BABS #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,4.79,1.68,1.50,"78,79"
804,NBC R65/66 A0 DAN #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,3.97,1.68,1.15,"78,79"
1140,SF265,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,7985,4,4.42,1.68,N/A,40
1205,WW O23 4C #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.07,1.68,1.88,85-87
1444,WW T24 4BII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.71,1.68,1.78,85-87
872,NBC R65/66 BII CHRIS #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.80,1.68,1.38,"78,79"
587,NBC 13.1.71 Y-IV DAVID #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,5.19,1.69,1.33,"78,79"
607,NBC 19.2.79 VANCE SQ6 #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.56,1.69,1.44,"78,79"
742,NBC D IV/4 BURIAL 2 GRAVE FILL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,3.67,1.69,1.27,"78,79"
785,NBC R65/66 20.1.66 Y0 CEDRIC #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.66,1.69,1.20,"78,79"
803,NBC R65/66 A0 DAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.21,1.69,1.37,"78,79"
1379,WW S29 4A+B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.16,1.69,1.46,85-87
14,APOLLO 266 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,4.19,1.69,1.59,56-58
593,NBC 14.2.79 SQ3 VALDA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.44,1.69,1.66,"78,79"
623,NBC 21.2.79 SQ7 VERITY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.62,1.69,1.77,"78,79"
659,NBC 5.1.71 CI DAVID,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.84,1.69,1.57,"78,79"
921,NBC R65/66 YI BETTY#14,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.98,1.69,1.41,"78,79"
947,NBC R65/66 YI DAN #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.03,1.69,1.48,"78,79"
1236,WW Q(?)25 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.59,1.69,1.48,85-87
1340,WW S24 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.28,1.69,1.19,85-87
